COD_ESTABELECIMENTO,COD_MCC,NOME_ESTABELECIMENTO,CIDADE_ESTABELECIMENTO,TRANSACAO_COM_CHIP,FREQ_TRANSACAO,MCC_CODE,MCC_DESCRIPTION,NOME_MCC,COD_CATEGORIA,CATEGORIA
9550164347,7011,APARTHOTEL ALFAGAR I,VILA REAL DE,S,1,7011.0,"HOTEIS, POUSADAS, ETC","APARTHOTEL ALFAGAR I HOTEIS, POUSADAS, ETC",0,Hotel
6016405,7011,HOTEL LIBERTADOR,CUSCO,N,2,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL LIBERTADOR HOTEIS, POUSADAS, ETC",0,Hotel
6543112650,7011,HOTEL ZELOS 544676,SAN FRANCISCO,N,2,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL ZELOS 544676 HOTEIS, POUSADAS, ETC",0,Hotel
74190725,7011,AUREA HOSTEL,SAO PAULO,N,2,7011.0,"HOTEIS, POUSADAS, ETC","AUREA HOSTEL HOTEIS, POUSADAS, ETC",0,Hotel
1001598650,742,SOS ANIMAL,RIO DE JANEIR,N,30,742.0,MEDICO VETERINARIO,SOS ANIMAL MEDICO VETERINARIO,0,Hotel
3015659,7011,FIALHO E AVO,LISBOA,N,1,7011.0,"HOTEIS, POUSADAS, ETC","FIALHO E AVO HOTEIS, POUSADAS, ETC",0,Hotel
1048217717,7011,YOLO HOSTEL,ARMACAO DOS B,S,6,7011.0,"HOTEIS, POUSADAS, ETC","YOLO HOSTEL HOTEIS, POUSADAS, ETC",0,Hotel
2375459,5697,LA BOTTEGA DI CASA 2,SN MIGUEL ALL,S,1,5697.0,ALFAIATES / COSTUREIRAS (OS),LA BOTTEGA DI CASA 2 ALFAIATES / COSTUREIRAS (OS),0,Hotel
596607501545301,3690,COURTYARD BY MARRIOTT,HOEMSTEAD,N,1,3690.0,COURTYARD BY MARRIOT,COURTYARD BY MARRIOTT COURTYARD BY MARRIOT,0,Hotel
9507550051,7011,THE CIRCUS HOTEL,BERLIN,S,1,7011.0,"HOTEIS, POUSADAS, ETC","THE CIRCUS HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
2020006942,7298,KAYA SPA,SIEM REAP,N,1,7298.0,CLINICAS DE BELEZA - SPA,KAYA SPA CLINICAS DE BELEZA - SPA,0,Hotel
8670651165,7011,HOTEL STELATI LTDA - ME,JAGUARIUNA,S,3,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL STELATI LTDA - ME HOTEIS, POUSADAS, ETC",0,Hotel
6317425528,7011,RITZ CARLTON NEW YORK CEN,NEW YORK,N,4,7011.0,"HOTEIS, POUSADAS, ETC","RITZ CARLTON NEW YORK CEN HOTEIS, POUSADAS, ETC",0,Hotel
19517213,7011,VIVALDI HOTEL,MONTEVIDEO,N,11,7011.0,"HOTEIS, POUSADAS, ETC","VIVALDI HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
9931610265,7011,ESCADA FINANCIAL CORP SUC,MEDELLIN,S,1,7011.0,"HOTEIS, POUSADAS, ETC","ESCADA FINANCIAL CORP SUC HOTEIS, POUSADAS, ETC",0,Hotel
27001931963,7011,GRAND BLUE WAVE HOTEL,SHAH ALAM,S,1,7011.0,"HOTEIS, POUSADAS, ETC","GRAND BLUE WAVE HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
74292013,7011,BOUGAINVILLE HOSTEL,ILHA GRANDE,S,3,7011.0,"HOTEIS, POUSADAS, ETC","BOUGAINVILLE HOSTEL HOTEIS, POUSADAS, ETC",0,Hotel
1050839975,7011,WINDSOR MARAPENDI HOTE,RIO DE JANEIR,S,2,7011.0,"HOTEIS, POUSADAS, ETC","WINDSOR MARAPENDI HOTE HOTEIS, POUSADAS, ETC",0,Hotel
7243324,7011,HOTEL SPRESIANO,SPRESIANO,S,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL SPRESIANO HOTEIS, POUSADAS, ETC",0,Hotel
18800863,7011,HOTEL LAS BARRANCAS,COLONIA,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL LAS BARRANCAS HOTEIS, POUSADAS, ETC",0,Hotel
23905,7011,C BEVERLY HILLS HOTEL,DURBAN,N,2,7011.0,"HOTEIS, POUSADAS, ETC","C BEVERLY HILLS HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
100702000709,7011,CORONA HOTEL,S GRAVENHAGE,N,1,7011.0,"HOTEIS, POUSADAS, ETC","CORONA HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
1913045,5941,THE ATHLETE S FOOT,LISBOA,S,2,5941.0,"LOJAS DE ARTIGOS ESPORTIVOS, NAUTICOS","THE ATHLETE S FOOT LOJAS DE ARTIGOS ESPORTIVOS, NAUTICOS",0,Hotel
102701169233,7011,HAY HOSTEL,HA NOI,S,1,7011.0,"HOTEIS, POUSADAS, ETC","HAY HOSTEL HOTEIS, POUSADAS, ETC",0,Hotel
8730184199,7011,POUSADA PARAISO DO FOR,MATA DE SAO J,N,1,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA PARAISO DO FOR HOTEIS, POUSADAS, ETC",0,Hotel
74577204,7011,RESULTS,SANTANA DE PA,S,12,7011.0,"HOTEIS, POUSADAS, ETC","RESULTS HOTEIS, POUSADAS, ETC",0,Hotel
245014501880,7011,HOTEL BALAJI DELUXE PA,NEW DELHI,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL BALAJI DELUXE PA HOTEIS, POUSADAS, ETC",0,Hotel
372596519887,3501,HOLIDAY INN EXPRESS,FRIENDSWOOD,N,1,3501.0,HOLIDAY INN,HOLIDAY INN EXPRESS HOLIDAY INN,0,Hotel
8716211099,7011,HOTEL BERTASO,CHAPECO,S,8,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL BERTASO HOTEIS, POUSADAS, ETC",0,Hotel
9292086311,3553,PARK INN NEVSKY RECEPTION,SANKT-PETERBU,N,4,3553.0,PARK INNS INTERNATIONAL,PARK INN NEVSKY RECEPTION PARK INNS INTERNATIONAL,0,Hotel
4420632,5137,BISI,RIO DE JANEIR,S,227,5137.0,COMERCIO DE ROUPAS E UNIFORMES ADULTO E INFANTIL,BISI COMERCIO DE ROUPAS E UNIFORMES ADULTO E INFANTIL,0,Hotel
69655480,7011,POUSADA SOFT,SAO PAULO,N,3,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA SOFT HOTEIS, POUSADAS, ETC",0,Hotel
372532898882,3501,HOLIDAY INN EXPRESS - DO,RICHMOND,N,1,3501.0,HOLIDAY INN,HOLIDAY INN EXPRESS - DO HOLIDAY INN,0,Hotel
1199310020,3543,FOUR SEASONS HOTEL ABU,ABU DHABI,N,1,3543.0,FOUR SEASONS HOTELS,FOUR SEASONS HOTEL ABU FOUR SEASONS HOTELS,0,Hotel
172249931,7011,STELLA HOTEL,INTERLAKEN,S,1,7011.0,"HOTEIS, POUSADAS, ETC","STELLA HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
11395443,7011,HIGIENOPOLIS CLASSIC,SAO PAULO,N,2,7011.0,"HOTEIS, POUSADAS, ETC","HIGIENOPOLIS CLASSIC HOTEIS, POUSADAS, ETC",0,Hotel
9446024010,7011,DOUBLETREE BY HILTON TOWE,LONDON,S,1,7011.0,"HOTEIS, POUSADAS, ETC","DOUBLETREE BY HILTON TOWE HOTEIS, POUSADAS, ETC",0,Hotel
1004917284,7011,FENICIA PALACE HOTEL,VARGINHA,S,2,7011.0,"HOTEIS, POUSADAS, ETC","FENICIA PALACE HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
859141036815,7011,HAMPTON BY HILTON,BERLIN,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HAMPTON BY HILTON HOTEIS, POUSADAS, ETC",0,Hotel
19967,7011,CROWNE PLAZA HARARE,ROSEBANK,S,1,7011.0,"HOTEIS, POUSADAS, ETC","CROWNE PLAZA HARARE HOTEIS, POUSADAS, ETC",0,Hotel
1035216458,7011,SOL NASCENTE PRAIA HOT,NATAL,N,5,7011.0,"HOTEIS, POUSADAS, ETC","SOL NASCENTE PRAIA HOT HOTEIS, POUSADAS, ETC",0,Hotel
1016123431,7011,MORADA DO SOL,SANTA CRUZ CA,S,1,7011.0,"HOTEIS, POUSADAS, ETC","MORADA DO SOL HOTEIS, POUSADAS, ETC",0,Hotel
8012680,7011,STRYN HOTEL,STRYN,N,1,7011.0,"HOTEIS, POUSADAS, ETC","STRYN HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
25408915,5812,RESTAURANTE E HOTEL TA,FRUTAL,N,1,5812.0,RESTAURANTES,RESTAURANTE E HOTEL TA RESTAURANTES,0,Hotel
9954212056,6531,LA IBERICA,NAO INFORMADO,S,1,6531.0,FORNECEDOR DE SERVIÃ‡OS DE PAGAMENTO,LA IBERICA FORNECEDOR DE SERVIÃ‡OS DE PAGAMENTO,0,Hotel
10052798,7011,PETIT APART HOTEL,FLORIANOPOLIS,N,3,7011.0,"HOTEIS, POUSADAS, ETC","PETIT APART HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
42823962800012,7011,HOTEL LANCASTER,75PARIS 08,S,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL LANCASTER HOTEIS, POUSADAS, ETC",0,Hotel
2664690,7011,HOTEL ADVANCED,CAMPO GRANDE,N,8,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL ADVANCED HOTEIS, POUSADAS, ETC",0,Hotel
64179311,5969,MASTER PALACE HOTEL,GRAMADO,N,9,5969.0,OUTROS ECS DE TELEMARKETING,MASTER PALACE HOTEL OUTROS ECS DE TELEMARKETING,0,Hotel
8702796608,7011,PLAZA CENTER HOTE,SAO LOURENCO,S,1,7011.0,"HOTEIS, POUSADAS, ETC","PLAZA CENTER HOTE HOTEIS, POUSADAS, ETC",0,Hotel
1634582,7011,GRAN HOTEL NINA LTDA,ARARAQUARA,S,3,7011.0,"HOTEIS, POUSADAS, ETC","GRAN HOTEL NINA LTDA HOTEIS, POUSADAS, ETC",0,Hotel
1048981140,7011,NACIONAL INN TORRES HO,CURITIBA,S,22,7011.0,"HOTEIS, POUSADAS, ETC","NACIONAL INN TORRES HO HOTEIS, POUSADAS, ETC",0,Hotel
9681754073,7011,PROTEA VICTORIA JUNC,GREEN POINT,N,1,7011.0,"HOTEIS, POUSADAS, ETC","PROTEA VICTORIA JUNC HOTEIS, POUSADAS, ETC",0,Hotel
50675737,5441,ILZA SEBASTIANA VASCON,BELEM,N,1,5441.0,DOCERIAS E CONFEITARIAS,ILZA SEBASTIANA VASCON DOCERIAS E CONFEITARIAS,0,Hotel
8703481911,7011,HOTEL LIRIO,CAROLINA,S,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL LIRIO HOTEIS, POUSADAS, ETC",0,Hotel
1015768013,7011,FEIRA PALACE,FEIRA DE SANT,S,1,7011.0,"HOTEIS, POUSADAS, ETC","FEIRA PALACE HOTEIS, POUSADAS, ETC",0,Hotel
968243,7011,POUSADA QUINTA DA SERR,CUNHA,S,1,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA QUINTA DA SERR HOTEIS, POUSADAS, ETC",0,Hotel
102325837,7011,HOTEL ADLON KEMPINSKI,BERLIN,S,3,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL ADLON KEMPINSKI HOTEIS, POUSADAS, ETC",0,Hotel
78634,7011,ALBANY HOTEL,DURBAN,S,1,7011.0,"HOTEIS, POUSADAS, ETC","ALBANY HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
11168644,5311,PAGSEGUROUOL SUITES,SAOSEBASTIAO,S,1,5311.0,LOJAS DE DEPARTAMENTO,PAGSEGUROUOL SUITES LOJAS DE DEPARTAMENTO,0,Hotel
1030904054,7011,CERRADO HOTEL,CAMPO GRANDE,S,1,7011.0,"HOTEIS, POUSADAS, ETC","CERRADO HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
2290300771,7011,NASSAU INN HOTEL 65000700,PRINCETON,N,1,7011.0,"HOTEIS, POUSADAS, ETC","NASSAU INN HOTEL 65000700 HOTEIS, POUSADAS, ETC",0,Hotel
87080050500014,7011,HOTEL DE VENDEE 8287369,44NANTES,S,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL DE VENDEE 8287369 HOTEIS, POUSADAS, ETC",0,Hotel
1010003841,7011,TOP CENTER HOTEL,ITAPERUNA,S,37,7011.0,"HOTEIS, POUSADAS, ETC","TOP CENTER HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
1033442183,7011,POUSADA AUTO D OURO,CAMPOS DO JOR,N,5,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA AUTO D OURO HOTEIS, POUSADAS, ETC",0,Hotel
100-7002209141,7011,MAX HOTEL,BRASILIA,N,1,7011.0,"HOTEIS, POUSADAS, ETC","MAX HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
1007023861,7011,POUSADA ANCORADOURO,ANGRA DOS REI,S,2,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA ANCORADOURO HOTEIS, POUSADAS, ETC",0,Hotel
9447022625,7011,SMART RUSSELL SQUARE HOST,LONDON,N,1,7011.0,"HOTEIS, POUSADAS, ETC","SMART RUSSELL SQUARE HOST HOTEIS, POUSADAS, ETC",0,Hotel
58719660,7011,POUSADA E CHURRASCARIA,PRINCESA ISAB,S,2,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA E CHURRASCARIA HOTEIS, POUSADAS, ETC",0,Hotel
353109794073691,7011,LEISURE INN PENNY RO,LAUNCESTON,N,1,7011.0,"HOTEIS, POUSADAS, ETC","LEISURE INN PENNY RO HOTEIS, POUSADAS, ETC",0,Hotel
237170127779901,3509,THE HENRY HOTEL DEARBORN,DEARBORN,N,1,3509.0,MARRIOTT HOTELS,THE HENRY HOTEL DEARBORN MARRIOTT HOTELS,0,Hotel
9590302063,7011,HOTEL ALCRON - REZERVA,PRAHA 1,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL ALCRON - REZERVA HOTEIS, POUSADAS, ETC",0,Hotel
8715909123,7011,POUSADA COCO BRAS,CARAIVA,S,6,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA COCO BRAS HOTEIS, POUSADAS, ETC",0,Hotel
1679695,7011,HOTEL CASA DA INSUA,PDO CASTELO,N,3,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL CASA DA INSUA HOTEIS, POUSADAS, ETC",0,Hotel
38979990900020,7011,HOTEL PLAZA REPU,LYON 2,S,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL PLAZA REPU HOTEIS, POUSADAS, ETC",0,Hotel
670426200139801,3640,HYATT ANDAZ WALL STREET,NEW YORK,N,1,3640.0,HYATT HOTELS,HYATT ANDAZ WALL STREET HYATT HOTELS,0,Hotel
10905438,7011,HOWARD JOHNSON RIO CU5438,RIO CUARTO,S,1,7011.0,"HOTEIS, POUSADAS, ETC","HOWARD JOHNSON RIO CU5438 HOTEIS, POUSADAS, ETC",0,Hotel
8730857463,7011,VERONA HOTEL,LIMEIRA,S,3,7011.0,"HOTEIS, POUSADAS, ETC","VERONA HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
9900190612,7011,HOTEL COVADONGA S A,RESISTENCIA,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL COVADONGA S A HOTEIS, POUSADAS, ETC",0,Hotel
30402042257,7011,STRATHCONA HOTEL,VICTORIA,S,3,7011.0,"HOTEIS, POUSADAS, ETC","STRATHCONA HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
1763261,7011,HOTEL DANIELA,ITATIAIA,S,16,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL DANIELA HOTEIS, POUSADAS, ETC",0,Hotel
9899091,7011,PESTANA BUENOS AIRES,CAP FED,N,10,7011.0,"HOTEIS, POUSADAS, ETC","PESTANA BUENOS AIRES HOTEIS, POUSADAS, ETC",0,Hotel
9550172837,7011,TURIM MARQUES DE,LISBOA,N,1,7011.0,"HOTEIS, POUSADAS, ETC","TURIM MARQUES DE HOTEIS, POUSADAS, ETC",0,Hotel
100022280,8249,PAGSEGUROUOL POUSADAVB,PALMEIRAS,S,1,8249.0,VOCACIONAL,PAGSEGUROUOL POUSADAVB VOCACIONAL,0,Hotel
136469765000000,7011,POUSADA MORIA,ITATIAIA,S,1,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA MORIA HOTEIS, POUSADAS, ETC",0,Hotel
100998984,8999,PAGSEGUROUOL POUSOSEMP,CAETEACU,S,1,8999.0,SERVICOS PROFISSIONAIS NAO RELACIONADOS,PAGSEGUROUOL POUSOSEMP SERVICOS PROFISSIONAIS NAO RELACIONADOS,0,Hotel
19789912,7011,POUSADA CARAVELA,ARRAIAL DO CA,N,50,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA CARAVELA HOTEIS, POUSADAS, ETC",0,Hotel
1572000092,7011,MAC ISLAND KOH CHANG,TRAT,N,1,7011.0,"HOTEIS, POUSADAS, ETC","MAC ISLAND KOH CHANG HOTEIS, POUSADAS, ETC",0,Hotel
1350436879,7011,HILTON HOTELS OK CITY,OKLAHOMA CITY,S,2,7011.0,"HOTEIS, POUSADAS, ETC","HILTON HOTELS OK CITY HOTEIS, POUSADAS, ETC",0,Hotel
100280260,7299,PAGSEGUROUOL PENSAO,RIODEJANEIRO,S,4,7299.0,AGENTES IMOBILIARIOS / CORRETORES,PAGSEGUROUOL PENSAO AGENTES IMOBILIARIOS / CORRETORES,0,Hotel
46901493,7011,VALE VERDE PENED HOTEL,ITATIAIA,N,18,7011.0,"HOTEIS, POUSADAS, ETC","VALE VERDE PENED HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
9960011542,7011,HOTEL Y CONFITERIA L'AUBE,PUNTA DEL EST,N,8,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL Y CONFITERIA L'AUBE HOTEIS, POUSADAS, ETC",0,Hotel
84445064,7011,FLETCHER HOTEL SPAARN,VELSEN-ZUID,S,1,7011.0,"HOTEIS, POUSADAS, ETC","FLETCHER HOTEL SPAARN HOTEIS, POUSADAS, ETC",0,Hotel
17562148,7011,HOSTEL SUITES DEL RIO,COLONIA,N,4,7011.0,"HOTEIS, POUSADAS, ETC","HOSTEL SUITES DEL RIO HOTEIS, POUSADAS, ETC",0,Hotel
1027900698,5814,POUSADA REST SAO JUDAS,SENHORA DE OL,S,2,5814.0,FAST FOOD,POUSADA REST SAO JUDAS FAST FOOD,0,Hotel
1019413139,7011,HOTEL NACIONAL INN,SOROCABA,S,8,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL NACIONAL INN HOTEIS, POUSADAS, ETC",0,Hotel
1315548,3501,HOLIDAY INN THE ZONE RO,CAPE TOWN,N,1,3501.0,HOLIDAY INN,HOLIDAY INN THE ZONE RO HOLIDAY INN,0,Hotel
8675738371,7011,HOTEL BRISA TROPICAL DE M,MACAE,S,12,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL BRISA TROPICAL DE M HOTEIS, POUSADAS, ETC",0,Hotel
5597984,7011,HOTEL CASINO PZA,GUADALAJARA J,N,2,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL CASINO PZA HOTEIS, POUSADAS, ETC",0,Hotel
380452800003001,7011,MONTREAL HOTEL 179,FIRENZE,N,1,7011.0,"HOTEIS, POUSADAS, ETC","MONTREAL HOTEL 179 HOTEIS, POUSADAS, ETC",0,Hotel
9921522017,7011,NATIVA SUITES LIMITADA,SANTIAGO,S,1,7011.0,"HOTEIS, POUSADAS, ETC","NATIVA SUITES LIMITADA HOTEIS, POUSADAS, ETC",0,Hotel
1050104029,7032,BRISA MAR POUSADA,BARRA DE SAO,N,1,7032.0,ACAMPAMENTOS - MENINOS E MENINAS,BRISA MAR POUSADA ACAMPAMENTOS - MENINOS E MENINAS,0,Hotel
8720902592,7011,POUSADA DANY TATO,BOM JARDIM,S,5,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA DANY TATO HOTEIS, POUSADAS, ETC",0,Hotel
100006124522810,3637,CUMULUS AIRPORT VANTAA,VANTAA,S,2,3637.0,RAMADA LIMITED HOTELS,CUMULUS AIRPORT VANTAA RAMADA LIMITED HOTELS,0,Hotel
114977,7011,RESID PASCOAL MELO,LISBOA,N,2,7011.0,"HOTEIS, POUSADAS, ETC","RESID PASCOAL MELO HOTEIS, POUSADAS, ETC",0,Hotel
33451745,5969,HOTEL FLORIDA,RIO DE JANEIR,N,1,5969.0,OUTROS ECS DE TELEMARKETING,HOTEL FLORIDA OUTROS ECS DE TELEMARKETING,0,Hotel
1438900,7011,PORTAL TORRES HOTEL,TORRES,S,2,7011.0,"HOTEIS, POUSADAS, ETC","PORTAL TORRES HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
1033676265,7011,BICAS HOTEL AGUA SANTA,BICAS,S,16,7011.0,"HOTEIS, POUSADAS, ETC","BICAS HOTEL AGUA SANTA HOTEIS, POUSADAS, ETC",0,Hotel
8463013268,7011,AYODYA RESORT BALI,BADUNG,S,4,7011.0,"HOTEIS, POUSADAS, ETC","AYODYA RESORT BALI HOTEIS, POUSADAS, ETC",0,Hotel
587285801493218,3687,CLARION INN & SUITES,ORLANDO,N,9,3687.0,CLARION HOTEL,CLARION INN & SUITES CLARION HOTEL,0,Hotel
2008340990,5945,TOYS 'R' US,WINCHESTER,N,2,5945.0,BRINQUEDOS E JOGOS,TOYS 'R' US BRINQUEDOS E JOGOS,0,Hotel
1048301254,7011,HOTEL CASA SAO JOSE,CAMPOS DO JOR,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL CASA SAO JOSE HOTEIS, POUSADAS, ETC",0,Hotel
18966408,7011,IBIS CONGRESO 6408,CAP FEDERAL,S,36,7011.0,"HOTEIS, POUSADAS, ETC","IBIS CONGRESO 6408 HOTEIS, POUSADAS, ETC",0,Hotel
244536,7011,HOTEL CENTRAL,GENEVE,N,3,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL CENTRAL HOTEIS, POUSADAS, ETC",0,Hotel
9400253803,7011,MERCURE VIENNA FIRST,WIEN,S,2,7011.0,"HOTEIS, POUSADAS, ETC","MERCURE VIENNA FIRST HOTEIS, POUSADAS, ETC",0,Hotel
17149509,7011,NORMANDIE DESIGN HOTEL,SAO PAULO,N,12,7011.0,"HOTEIS, POUSADAS, ETC","NORMANDIE DESIGN HOTEL HOTEIS, POUSADAS, ETC",0,Hotel
25652025,7011,POUSADA FAZENDINHA,BRUMADINHO,N,5,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA FAZENDINHA HOTEIS, POUSADAS, ETC",0,Hotel
8702898891,7011,POUSADA JOVIMAR,APARECIDA,S,21,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA JOVIMAR HOTEIS, POUSADAS, ETC",0,Hotel
16130577,7011,16130577HAPPINESS HOST,44001 RIOHAC,S,1,7011.0,"HOTEIS, POUSADAS, ETC","16130577HAPPINESS HOST HOTEIS, POUSADAS, ETC",0,Hotel
9420237828,7011,PREMIER INN LONDON COUNTY,LONDON,S,1,7011.0,"HOTEIS, POUSADAS, ETC","PREMIER INN LONDON COUNTY HOTEIS, POUSADAS, ETC",0,Hotel
9950237255,7011,LOS TALLANES HOT Y SUITES,SAN ISIDRO,S,10,7011.0,"HOTEIS, POUSADAS, ETC","LOS TALLANES HOT Y SUITES HOTEIS, POUSADAS, ETC",0,Hotel
650000009776553,3502,BEST WESTERN ORLANDO GATE,ORLANDO,S,7,3502.0,HOTEL BEST WESTERN,BEST WESTERN ORLANDO GATE HOTEL BEST WESTERN,0,Hotel
13116090,7011,HOTEL SANTEMAR,SANTANDER,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL SANTEMAR HOTEIS, POUSADAS, ETC",0,Hotel
336923024,7011,LIGHTS GARDEN,MALAGA,N,1,7011.0,"HOTEIS, POUSADAS, ETC","LIGHTS GARDEN HOTEIS, POUSADAS, ETC",0,Hotel
1043928550,4722,RESERVAS RESORTS ONLIN,UBERLANDIA,N,1,4722.0,OPERADORES / AGENCIAS DE VIAGEM,RESERVAS RESORTS ONLIN OPERADORES / AGENCIAS DE VIAGEM,0,Hotel
9492600135,7011,HOTEL LE MERCURE,COURCHEVEL,N,3,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL LE MERCURE HOTEIS, POUSADAS, ETC",0,Hotel
3059209,7011,HOTEL WHITE LISBOA,LISBOA,S,2,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL WHITE LISBOA HOTEIS, POUSADAS, ETC",0,Hotel
8719263881,7011,POUSADA RECANTO F,CAMPOS DO JOR,S,1,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA RECANTO F HOTEIS, POUSADAS, ETC",0,Hotel
1094651190,7011,NOVOTEL SAO JOSE DOS C,SAO JOSE DOS,S,42,7011.0,"HOTEIS, POUSADAS, ETC","NOVOTEL SAO JOSE DOS C HOTEIS, POUSADAS, ETC",0,Hotel
1001899170,7011,HOTEL SAN JUAN,CURITIBA,N,10,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL SAN JUAN HOTEIS, POUSADAS, ETC",0,Hotel
