CATEGORIA,CIDADE_ESTABELECIMENTO,COD_CATEGORIA,COD_ESTABELECIMENTO,COD_MCC,FREQ_TRANSACAO,MCC_CODE,MCC_DESCRIPTION,NOME_ESTABELECIMENTO,NOME_MCC,PREDICT,TRANSACAO_COM_CHIP,Unnamed: 0
,SAO PAULO,8,39711862,5814.0,1.0,58140.0,FAST FOOD,BOB S SHOP C LIMPO,BOB S SHOP C LIMPO FAST FOOD,Fast Food,S,
,SAO PAULO,8,1081642553,5814.0,1.0,58140.0,FAST FOOD,BOB SSHOP D,BOB SSHOP D FAST FOOD,Supermercado,N,
,SPLIT,8,PBZ915409001,5812.0,1.0,58120.0,RESTAURANTES,"BOBIC, 2915409001","BOBIC, 2915409001 RESTAURANTES",Supermercado,N,
,CAMPO GRANDE,8,1036469996,5814.0,5.0,58140.0,FAST FOOD,BOB'S DRIVEN,BOB'S DRIVEN FAST FOOD,Supermercado,S,
,VILA VELHA,8,531421113000000,5814.0,7.0,58140.0,FAST FOOD,BOB'S ITAPARICA,BOB'S ITAPARICA FAST FOOD,Supermercado,N,
,MAUA,8,13565770,5814.0,3.0,58140.0,FAST FOOD,BOBS MAUA PLAZA,BOBS MAUA PLAZA FAST FOOD,Supermercado,N,
,CARIACICA,8,145207181000000,5814.0,4.0,58140.0,FAST FOOD,BOB'S MOXUARA,BOB'S MOXUARA FAST FOOD,Fast Food,S,
,RIO DE JANEIR,8,1051953550,5814.0,1.0,58140.0,FAST FOOD,BOB'S NOVA PAVUNA,BOB'S NOVA PAVUNA FAST FOOD,Fast Food,S,
,BELEM,8,158448130000000,5814.0,15.0,58140.0,FAST FOOD,BOB'S-BATISTA CAMPOS,BOB'S-BATISTA CAMPOS FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,8545077083,5812.0,6.0,58120.0,RESTAURANTES,BOBU'S BURGUER,BOBU'S BURGUER RESTAURANTES,Supermercado,S,
,SAO CARLOS,8,76652505,5814.0,6.0,58140.0,FAST FOOD,BOND BURGUER,BOND BURGUER FAST FOOD,Supermercado,S,
,75PARIS,7,48988043500016,7011.0,4.0,70110.0,"HOTEIS, POUSADAS, ETC",BONS ENFANTS 3915392,"BONS ENFANTS 3915392 HOTEIS, POUSADAS, ETC",Supermercado,N,
,RIO DE JANEIR,6,36757560,5211.0,80.0,52110.0,LOJAS DE MATERIAL DE CONSTRUCAO,BONS VIZINHOS MAT CONST,BONS VIZINHOS MAT CONST LOJAS DE MATERIAL DE CONSTRUCAO,Supermercado,S,
,PONTA GROSSA,8,595431,5814.0,1.0,58140.0,FAST FOOD,BOX BURGUER,BOX BURGUER FAST FOOD,Fast Food,S,
,800-539-0375,5,518564650202468,5021.0,1.0,50210.0,MOVEIS COMERCIAIS E PARA ESCRITORIOS,BQ ERGONOMICS LLC,BQ ERGONOMICS LLC MOVEIS COMERCIAIS E PARA ESCRITORIOS,Supermercado,N,
,NITEROI,8,8629215872,5814.0,29.0,58140.0,FAST FOOD,BREDERS BURGUER,BREDERS BURGUER FAST FOOD,Fast Food,S,
,RIO DE JANEIR,8,136605915000000,5814.0,27.0,58140.0,FAST FOOD,BRONKS BURGUE,BRONKS BURGUE FAST FOOD,Fast Food,S,
,SERTAOZINHO,8,784082491000000,5814.0,1.0,58140.0,FAST FOOD,BROOKS HAMBURGUERIA,BROOKS HAMBURGUERIA FAST FOOD,Fast Food,S,
,BAURU,8,8496035585,5814.0,1.0,58140.0,FAST FOOD,BROOKS HAMBURGUERIA GOU,BROOKS HAMBURGUERIA GOU FAST FOOD,Supermercado,S,
,LAGO SUL,7,1084645103,5812.0,12.0,58120.0,RESTAURANTES,BSB - JUICE SALAD BAR,BSB - JUICE SALAD BAR RESTAURANTES,Supermercado,S,
,BRASILIA,10,30599377,5085.0,1.0,50850.0,SUPRIMENTOS INDUSTRIAIS NAO CLASSIFICADOS,BSB MEMO,BSB MEMO SUPRIMENTOS INDUSTRIAIS NAO CLASSIFICADOS,Supermercado,S,
,RIO DE JANEIR,10,8542240593,5812.0,142.0,58120.0,RESTAURANTES,BSB2,BSB2 RESTAURANTES,Supermercado,S,
,NEW YORK,8,6311343404,5812.0,5.0,58120.0,RESTAURANTES,BUBBY'S - TRIBECA,BUBBY'S - TRIBECA RESTAURANTES,Fast Food,N,
,SAO LUIS,8,100-7004066044,5814.0,4.0,58140.0,FAST FOOD,BUNKER BURGUER,BUNKER BURGUER FAST FOOD,Supermercado,S,
,SAO PAULO,8,8535621759,5814.0,1.0,58140.0,FAST FOOD,BURDEGA HAMBURGUER EIR,BURDEGA HAMBURGUER EIR FAST FOOD,Supermercado,S,
,NILOPOLIS,8,78000378,5963.0,2.0,59630.0,VENDAS A DOMICILIO,BURGE,BURGE VENDAS A DOMICILIO,Supermercado,S,
,NEW YORK,8,8788290216791,5812.0,1.0,58120.0,RESTAURANTES,BURGER AND BARREL,BURGER AND BARREL RESTAURANTES,Supermercado,N,
,LAS VEGAS,8,5270275753,5812.0,3.0,58120.0,RESTAURANTES,BURGER BAR 0323,BURGER BAR 0323 RESTAURANTES,Supermercado,N,
,PORTO VELHO,8,838794,5814.0,1.0,58140.0,FAST FOOD,BURGER GRILL,BURGER GRILL FAST FOOD,Supermercado,S,
,PRAHA 1,8,13995509,5812.0,1.0,58120.0,RESTAURANTES,BURGER KING - AUTOGRILL,BURGER KING - AUTOGRILL RESTAURANTES,Supermercado,N,
,SAO PAULO,8,8670716935,5814.0,6.0,58140.0,FAST FOOD,BURGUER COMPANY LTDA,BURGUER COMPANY LTDA FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,49959956,5814.0,23.0,58140.0,FAST FOOD,BURGUER FAST,BURGUER FAST FAST FOOD,Supermercado,S,
,SAO PAULO,8,874605592000000,5814.0,2.0,58140.0,FAST FOOD,BURGUER FUN,BURGUER FUN FAST FOOD,Fast Food,S,
,MARATAIZES,8,8629894866,5814.0,1.0,58140.0,FAST FOOD,BURGUER GRILL,BURGUER GRILL FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,9068803923,5812.0,17.0,58120.0,RESTAURANTES,BURGUER GRILL,BURGUER GRILL RESTAURANTES,Supermercado,S,
,JOAO PESSOA,8,8781403407,5811.0,2.0,58110.0,FORNECEDORES,BURGUER HOUSE HAMBURGU,BURGUER HOUSE HAMBURGU FORNECEDORES,Supermercado,S,
,SAO PAULO,8,1052617678,5814.0,1.0,58140.0,FAST FOOD,BURGUER LAB IBIRAPUERA,BURGUER LAB IBIRAPUERA FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,8703273599,5814.0,1.0,58140.0,FAST FOOD,BURGUER MANIA,BURGUER MANIA FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,389297196000000,5814.0,2.0,58140.0,FAST FOOD,BURGUERLANDIA J A,BURGUERLANDIA J A FAST FOOD,Supermercado,N,
,SAO PAULO,8,169314785000000,5814.0,3.0,58140.0,FAST FOOD,BURGUERS VERSUS KEBABS,BURGUERS VERSUS KEBABS FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,1718690,5814.0,20.0,58140.0,FAST FOOD,BURGUES HAMBURGUEIRIA,BURGUES HAMBURGUEIRIA FAST FOOD,Supermercado,N,
,RIO DE JANEIR,10,8548533454,5691.0,34.0,56910.0,ROUPAS MASCULINAS E FEMININAS,BUTIK 26,BUTIK 26 ROUPAS MASCULINAS E FEMININAS,Supermercado,S,
,RIO DE JANEIR,8,1062076424,5812.0,4820.0,58120.0,RESTAURANTES,BZ 74 OUTBACK CARIOCA,BZ 74 OUTBACK CARIOCA RESTAURANTES,Fast Food,S,
,RIO DE JANEIR,8,1062076424,5812.0,1129.0,58120.0,RESTAURANTES,BZ 74 OUTBACK CARIOCA,BZ 74 OUTBACK CARIOCA RESTAURANTES,Fast Food,N,
,SANTIAGO,3,27893074,5912.0,2.0,59120.0,DROGARIAS E FARMACIAS,C VERDE HUERFANOS 1201,C VERDE HUERFANOS 1201 DROGARIAS E FARMACIAS,Supermercado,S,
,MILLTOWN,1,9453047664,7512.0,180.0,75120.0,LOCADORAS DE VEICULOS,CARTRAWLER,CARTRAWLER LOCADORAS DE VEICULOS,Supermercado,N,
,SALVADOR,8,8701262289,5499.0,2.0,54990.0,ACOUGUE MERC FRUTOS DO MAR ALIM VA,CASA DO HAMBURG,CASA DO HAMBURG ACOUGUE MERC FRUTOS DO MAR ALIM VA,Fast Food,S,
,RIO DE JANEIR,8,8730744802,5814.0,11.0,58140.0,FAST FOOD,CASA DO HAMBURGUER,CASA DO HAMBURGUER FAST FOOD,Supermercado,S,
,BEAUNE,10,830021231748012,5542.0,1.0,55420.0,MAQUINA AUTOMATICA DE COMBUSTIVEL,CASINOCARBSS546,CASINOCARBSS546 MAQUINA AUTOMATICA DE COMBUSTIVEL,Supermercado,N,
,RIO DE JANEIR,8,1650207,5814.0,338.0,58140.0,FAST FOOD,CB BURGUER,CB BURGUER FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,5178855,5812.0,1.0,58120.0,RESTAURANTES,CB BURGUER,CB BURGUER RESTAURANTES,Supermercado,N,
,RIO DE JANEIR,8,5178855,5812.0,3.0,58120.0,RESTAURANTES,CB BURGUER,CB BURGUER RESTAURANTES,Fast Food,S,
,PADANG,7,5000520045,5814.0,1.0,58140.0,FAST FOOD,CFC BANDARA PADANG,CFC BANDARA PADANG FAST FOOD,Fast Food,S,
,ALEGRE,8,49930060,5814.0,1.0,58140.0,FAST FOOD,CIA DO PASTEL,CIA DO PASTEL FAST FOOD,Supermercado,S,
,BRASILIA,5,1091387912,5411.0,5.0,54110.0,SUPERMERCADOS,COMPER LOJA 152,COMPER LOJA 152 SUPERMERCADOS,Supermercado,N,
,KHOBAR,5,118831,5411.0,1.0,54110.0,SUPERMERCADOS,CONSUMER OASIS,CONSUMER OASIS SUPERMERCADOS,Supermercado,N,
,NOVA IGUACU,10,1052337373,5814.0,2.0,58140.0,FAST FOOD,COSME HILARIO FURTADO,COSME HILARIO FURTADO FAST FOOD,Supermercado,N,
,SAO PAULO,8,66899435,5814.0,2.0,58140.0,FAST FOOD,D BURGUER,D BURGUER FAST FOOD,Fast Food,S,
,DUBAI,8,315114000,5814.0,1.0,58140.0,FAST FOOD,D597-STARBUCKS-DAREEN,D597-STARBUCKS-DAREEN FAST FOOD,Supermercado,S,
,ABU DHABI,8,346622000,5814.0,1.0,58140.0,FAST FOOD,D639-STARBUCKS-DAREEN,D639-STARBUCKS-DAREEN FAST FOOD,Fast Food,S,
,SAO PAULO,10,8700171564,5813.0,1.0,58130.0,"BARES, LANCHONETES, BOATES, CLUBES NOTURNOS",DANGER BAR,"DANGER BAR BARES, LANCHONETES, BOATES, CLUBES NOTURNOS",Supermercado,S,
,SAQUAREMA,8,202918156000000,5300.0,42.0,53000.0,ATACADISTA,DECK BURGUER CAFE-,DECK BURGUER CAFE- ATACADISTA,Supermercado,S,
,SAQUAREMA,8,202918156000000,5300.0,10.0,53000.0,ATACADISTA,DECK BURGUER CAFE-,DECK BURGUER CAFE- ATACADISTA,Fast Food,N,
,SAQUAREMA,8,8490338373,5300.0,7.0,53000.0,ATACADISTA,DECK BURGUER CAFE-,DECK BURGUER CAFE- ATACADISTA,Supermercado,S,
,SAO PAULO,5,8542822622,5411.0,2.0,54110.0,SUPERMERCADOS,DELIVERY EX HIPER 2245,DELIVERY EX HIPER 2245 SUPERMERCADOS,Supermercado,N,
,BELO HORIZONT,8,4545218,5441.0,1.0,54410.0,DOCERIAS E CONFEITARIAS,DELTA BURGUER LTDA,DELTA BURGUER LTDA DOCERIAS E CONFEITARIAS,Fast Food,N,
,RIO DE JANEIR,8,1013690246,7230.0,14.0,72300.0,SALAO DE BELEZA / BARBEARIA,DEPIL FAST,DEPIL FAST SALAO DE BELEZA / BARBEARIA,Fast Food,S,
,MONTEVIDEO,5,9960250348,5411.0,2.0,54110.0,SUPERMERCADOS,DEVOTO EXPRESS 14,DEVOTO EXPRESS 14 SUPERMERCADOS,Supermercado,N,
,BELO HORIZONT,5,1053143661,5411.0,4.0,54110.0,SUPERMERCADOS,DIA % 7009,DIA % 7009 SUPERMERCADOS,Supermercado,S,
,SOROCABA,5,47007060,5411.0,1.0,54110.0,SUPERMERCADOS,DIA % 9410,DIA % 9410 SUPERMERCADOS,Supermercado,S,
,FRANCO DA ROC,5,70924074,5411.0,1.0,54110.0,SUPERMERCADOS,DIA 1024,DIA 1024 SUPERMERCADOS,Supermercado,N,
,SAO PAULO,5,1093607731,5411.0,62.0,54110.0,SUPERMERCADOS,DIA 3350,DIA 3350 SUPERMERCADOS,Supermercado,S,
,SAO PAULO,5,74705890,5411.0,16.0,54110.0,SUPERMERCADOS,DIA 3398,DIA 3398 SUPERMERCADOS,Supermercado,N,
,SANTO ANDRE,5,1026628579,5411.0,2.0,54110.0,SUPERMERCADOS,DIA 9153,DIA 9153 SUPERMERCADOS,Supermercado,S,
,SAO PAULO,5,1085647320,5411.0,51.0,54110.0,SUPERMERCADOS,DIA 9916,DIA 9916 SUPERMERCADOS,Supermercado,S,
,SAO PAULO,5,1086195300,5411.0,2.0,54110.0,SUPERMERCADOS,DIA BRASIL LJ 1005,DIA BRASIL LJ 1005 SUPERMERCADOS,Supermercado,S,
,SANTOS,5,1091411813,5411.0,1.0,54110.0,SUPERMERCADOS,DIA BRASIL LJ 1042,DIA BRASIL LJ 1042 SUPERMERCADOS,Supermercado,S,
,SAO JOSE DOS,5,1009430731,5411.0,9.0,54110.0,SUPERMERCADOS,DIA BRASIL LJ 109,DIA BRASIL LJ 109 SUPERMERCADOS,Supermercado,S,
,SAO PAULO,5,1007006703,5411.0,1.0,54110.0,SUPERMERCADOS,DIA BRASIL LJ 388,DIA BRASIL LJ 388 SUPERMERCADOS,Supermercado,N,
,SAO PAULO,5,1071953769,5411.0,5.0,54110.0,SUPERMERCADOS,DIA BRASIL LJ 542,DIA BRASIL LJ 542 SUPERMERCADOS,Supermercado,S,
,BRODOWSKI,5,1074760694,5411.0,6.0,54110.0,SUPERMERCADOS,DIA BRASIL LJ 551,DIA BRASIL LJ 551 SUPERMERCADOS,Supermercado,S,
,SAO PAULO,5,20922736,5411.0,6.0,54110.0,SUPERMERCADOS,DIA BRASIL LOJA 131,DIA BRASIL LOJA 131 SUPERMERCADOS,Supermercado,N,
,CAMPINAS,5,23682620,5411.0,3.0,54110.0,SUPERMERCADOS,DIA BRASIL LOJA 257,DIA BRASIL LOJA 257 SUPERMERCADOS,Supermercado,N,
,BARUERI,5,14302365,5411.0,2.0,54110.0,SUPERMERCADOS,DIA BRASIL LOJA 396,DIA BRASIL LOJA 396 SUPERMERCADOS,Supermercado,N,
