Unnamed: 0,COD_ESTABELECIMENTO,COD_MCC,NOME_ESTABELECIMENTO,CIDADE_ESTABELECIMENTO,TRANSACAO_COM_CHIP,BANDEIRA,MOEDA,FREQ_TRANSACAO,CATEGORIA,COD_CATEGORIA,COD_COMPUTADOR
1362936,111057196,5977,PAG*LEFRANCEPERFUMES,SAO PAULO,N,3,177,1.0,Cosmeticos,4,4
1499930,67912257,5977,GENUINE COSMETICS,CAMPO LARGO,S,2,177,1.0,Cosmeticos,4,4
901767,30109168048,5812,AU SOMMET PVM RESTAURA,MONTREAL,N,3,23,2.0,Cosmeticos,4,11
826074,200403000000000,5651,INTENSE COSMETICOS,FOZ DO IGUAÃ‡U,N,3,177,2.0,Cosmeticos,4,4
1913261,8700803232,4812,PERIMETRAL SISTEM,SAO JOSE,S,1,177,1.0,Cosmeticos,4,11
665822,98231482,5651,PAGSEGUROUOL*GOURMETHO,CURITIBA,S,2,177,3.0,Cosmeticos,4,7
1276069,4806507,5912,COSMETICOS PINK CHANEL,CURITIBA,S,2,177,1.0,Cosmeticos,4,4
728307,25841388,5977,KIANI COSMETICOS,BRUSQUE,S,2,177,3.0,Cosmeticos,4,4
1130902,19-8023731030,5977,L OCCITANE 265,ROSEMONT,S,2,146,1.0,Cosmeticos,4,4
1288217,9066051814,7523,ESTAC  METROPOLITAN,CURITIBA,S,1,177,1.0,Cosmeticos,4,10
1925271,1061379180,5977,ENCANTO COSM E PERF,ORLEANS,S,2,177,1.0,Cosmeticos,4,11
413997,73214809,7230,MAIS BELLA COSMETICOS,CURITIBA,N,3,177,6.0,Cosmeticos,4,4
1873565,15880909,5661,PAG*MALUCOPORFUTE,MOGI GUACU,N,2,177,1.0,Cosmeticos,4,11
1071252,93442586,7230,PAG*HINODECOSMETI,CURIUVA,S,2,177,1.0,Cosmeticos,4,4
1610591,225885000000000,5977,PAYPAL *PERFUMITY,4029357733,N,3,177,1.0,Cosmeticos,4,4
1511412,7251082,5812,LA FLAUTERIA,MEXICO DF,N,3,88,1.0,Cosmeticos,4,11
1579561,1095180778,4214,A R COM DE COSMETICOS,SAO MIGUEL DO,S,2,177,1.0,Cosmeticos,4,4
1304104,27354810,5977,TODA LINDA COSMETICOS,LUCAS DO RIO,S,2,177,1.0,Cosmeticos,4,4
205151,8671605392,7230,NESIO NONES - CAB E PERF,CURITIBA,S,1,177,17.0,Cosmeticos,4,11
1105971,1019577611,7538,GEOCENTER GEOMETRIA BA,CANOAS,S,2,177,1.0,Cosmeticos,4,11
715958,1723834,5977,A RAINHA COSMETICOS E,SAO JOSE DOS,N,3,177,3.0,Cosmeticos,4,4
1013486,543951000000000,5977,SEPHORA 282,DES PERES,N,3,146,2.0,Cosmeticos,4,4
1246367,5043075597,5977,PERFUMANIA #242 0000,ONTARIO,S,1,146,1.0,Cosmeticos,4,4
1787727,483217000000,5977,RODEO COSMETICS,BEVERLY HILLS,S,2,146,1.0,Cosmeticos,4,4
1457152,1037784763,5977,LORENZO PERFUMARIA,ARIQUEMES,S,2,177,1.0,Cosmeticos,4,4
1208966,4141972,5977,LOCCITANE AU BRESIL MA,MACAPA,N,3,177,1.0,Cosmeticos,4,4
1381271,105824518,5691,PAG*VALTERFRANZAK,RESERVA,N,3,177,1.0,Cosmeticos,4,11
1744322,78540979,5311,PAG*MASTERRHINODE,ALMIRANTETAMA,N,3,177,1.0,Cosmeticos,4,4
1394877,1594143,5977,JAD COSMETICOS,OSASCO,S,2,177,1.0,Cosmeticos,4,4
1104687,12610801,5969,FUN COSMETICOS,CURITIBA,S,2,177,1.0,Cosmeticos,4,4
31918,17206979,5722,LEONID SMETANA,CURITIBA,S,2,177,178.0,Cosmeticos,4,11
198555,15976890,5411,MINIMERCADOCUCAS,IMBITUBA,S,2,177,18.0,Cosmeticos,4,5
551173,98201702,4214,PAG*OLDPRIMETECNOLOGI,SAO PAULO,N,2,177,4.0,Cosmeticos,4,11
887513,197526000000000,5122,AP COSMETICOS,SANTA MARIA,S,2,177,2.0,Cosmeticos,4,4
1771045,1045829401,5977,L.B. COSMETICOS,CAMPINAS,S,2,177,1.0,Cosmeticos,4,4
1420810,160978800,5651,MEHMET YAVUZ,BURSA,S,2,159,1.0,Cosmeticos,4,11
1467164,19189844,5977,PERFUMARIA SHARON I LT,SAO PAULO,N,3,177,1.0,Cosmeticos,4,4
181283,1104788222,5977,SOZIM TORRES COSMETICO,CURITIBA,S,2,177,20.0,Cosmeticos,4,4
1511661,51050773,5977,SPA COSMETICOS LTDA ME,PITANGA,N,3,177,1.0,Cosmeticos,4,4
950220,73706450,5977,KEL COSMETICOS,RIO NEGRO,N,3,177,2.0,Cosmeticos,4,4
1670461,1727822,5122,RAFINHA COSMETICOS,CURITIBA,S,2,177,1.0,Cosmeticos,4,4
1212918,110-7004246877,5977,COSM BELLISIMA GDL,ZAPOPAN JAL,N,3,88,1.0,Cosmeticos,4,11
716067,1004791795,5977,MANECA COSMETICOS PERF,PONTA GROSSA,N,3,177,3.0,Cosmeticos,4,4
1666049,664061,5732,EP  COSMETICOS,FLORIANOPOLIS,S,2,177,1.0,Cosmeticos,4,4
1866799,54972736,5977,ELLIS COSMETICOS,IRATI,S,2,177,1.0,Cosmeticos,4,4
1420756,55186858,5963,ANAS MARY KAY,SANTOS,S,2,177,1.0,Cosmeticos,4,4
454824,49161121,5111,T T GOUMET,S JOSE PINHAI,S,2,177,5.0,Cosmeticos,4,11
1401559,8536140361,5977,AQUA INSPIRE COSMETICO,CRICIUMA,S,1,177,1.0,Cosmeticos,4,4
1323794,312024000000000,5977,PROFUMERIA DESIREE    205,MILANO,N,2,173,1.0,Cosmeticos,4,4
1467139,1013198481,5131,METHAMORFOSE BIJUTERIA,SAO JOSE DO R,S,2,177,1.0,Cosmeticos,4,11
684287,78441447,5977,COSMETICOS BELEZA CHE,CURITIBA,S,2,177,3.0,Cosmeticos,4,4
1697876,47701899,5651,ALLIED ENTRP LOCCITANE,DUBAI,S,2,146,1.0,Cosmeticos,4,4
1083435,10976736,5977,LUMINNE CENTER PERF,SAO PAULO,S,2,177,1.0,Cosmeticos,4,11
929699,107752266,8999,PAG*DAYNNEMENOTTIPERE,CURITIBA,S,2,177,2.0,Cosmeticos,4,11
313608,1275221,5977,FASCINIO PERFUMARIA,JUQUIA,N,3,177,9.0,Cosmeticos,4,4
1741521,8706337722,5271,NATURAL COSMETICO,CURITIBA,S,1,177,1.0,Cosmeticos,4,4
1234521,92241991,5977,PAG*SOUZARAMOSCOSMETI,MOGI DAS CRUZ,N,2,177,1.0,Cosmeticos,4,4
999189,1034258866,5441,FUFU LIA,SAO PAULO,N,3,177,2.0,Cosmeticos,4,11
1588638,1023344782,5947,SILCC COSMETICOS,SAO MIGUEL DO,S,2,177,1.0,Cosmeticos,4,4
776988,3018577,5977,PERFUMES E COMPANHIA  AZ,LISBOA,S,2,173,2.0,Cosmeticos,4,4
1499865,8549801876,5977,HIDRATTA COSMETICOS,LAPA,S,1,177,1.0,Cosmeticos,4,4
1499845,100-7000852033,5541,AUTO POSTO PERIMETRAL NOR,GOIANIA,N,3,177,1.0,Cosmeticos,4,10
1483192,10131590,5977,AYROS PERFUMARIA,SAO PAULO,S,2,177,1.0,Cosmeticos,4,4
244084,35212357,5977,WILLIAM COSMETICOS,LONDRINA,N,2,177,13.0,Cosmeticos,4,4
1181112,601105000000000,5977,PERFUMES 4 U - VINELAND,ORLANDO,S,4,146,1.0,Cosmeticos,4,4
1205785,68625022,5977,JCBS COSMETICOS,ITAPEVI,S,4,177,1.0,Cosmeticos,4,4
902201,11939913,5977,NABLA COSMETICS,ROMA,N,3,173,2.0,Cosmeticos,4,4
815308,17985254,8299,PAGSEGUROUOL*GANEPEDUC,SAO PAULO,N,2,177,2.0,Cosmeticos,4,11
217771,4641015,5947,HINODE LIDER COLOMBO,JANDIRA,S,2,177,15.0,Cosmeticos,4,4
146217,2309335,7011,BRISTOL METROPOLITAN F,CURITIBA,S,2,177,27.0,Cosmeticos,4,10
1304020,13213557,7699,PAG*SAPATARIADOFUTURO,BARUERI,N,3,177,1.0,Cosmeticos,4,11
1545615,100045610,5977,PAG*IZACOSMETICOS,ARAUCARIA,S,2,177,1.0,Cosmeticos,4,4
1140633,1055005094,5977,PERFUMANIA #119 0000,CASTLEROCK,S,1,146,1.0,Cosmeticos,4,4
1345060,3004611,5977,SEPHORA            611,TORINO,N,3,173,1.0,Cosmeticos,4,4
1300384,111022425,7230,PAG*LECHARMEESPBELEZA,CACADOR,S,2,177,1.0,Cosmeticos,4,4
1261421,8544357619,5977,LOCC ITANE,CONFINS,S,1,177,1.0,Cosmeticos,4,11
362638,8671628261,5912,PATRICIA P T F PERFUMARIA,CURITIBA,S,1,177,7.0,Cosmeticos,4,4
1199373,9911959617,5977,HALFI  COSMETICOS,CURITIBA,S,1,177,1.0,Cosmeticos,4,4
1742665,19735596,5977,MARTINS PERFUMES E COS,FORTALEZA,N,3,177,1.0,Cosmeticos,4,4
703498,8700267370,5977,AVONTADE COSMETIC,BALNEARIO CAM,S,1,177,3.0,Cosmeticos,4,4
875521,16952323,5977,PAGSEGUROUOL*JOSIANNEM,ARAUCARIA,N,3,177,2.0,Cosmeticos,4,11
1674507,543948000000000,5977,SEPHORA 234,CHESTERFIELD,S,2,146,1.0,Cosmeticos,4,4
242548,52201112,5977,ROYAL COSMETICOS,BARUERI,S,2,177,13.0,Cosmeticos,4,4
1667943,45031204,4111,MOSMETRO.RU ASALARIEVO,MOSCOW,N,3,114,1.0,Cosmeticos,4,10
566005,89022057,8071,PAGSEGUROUOL*METROLAB,COLOMBO,S,2,177,4.0,Cosmeticos,4,10
216365,1063530013,5046,RODRIGUESEPUCCI,ARAUCARIA,S,2,177,16.0,Cosmeticos,4,11
950124,68483023,5977,PERFURMAR,GUARATUBA,N,3,177,2.0,Cosmeticos,4,11
1697182,1085594529,8999,STELO*SEPHA PERFUMA,BARUERI,N,3,177,1.0,Cosmeticos,4,4
484251,103301590,5977,PAG*BELLAFLORCOSMETIC,CURITIBA,S,2,177,5.0,Cosmeticos,4,4
1323523,1009953343,5411,A DENGOSA COSMETICOS,SAO PAULO,S,2,177,1.0,Cosmeticos,4,4
111379,132801,5942,DOSIMM SULTANAHMET 2,ISTANBUL,S,4,177,38.0,Cosmeticos,4,11
1580586,1015096392,5977,CATIMARI PERFUMARIA,SAO CAETANO D,N,3,177,1.0,Cosmeticos,4,4
1145039,112749000000000,5651,SEDUCAO SEXY FASHION,DUQUE DE CAXI,N,3,177,1.0,Cosmeticos,4,10
1074563,25210485,5912,LOCCITANE EN PROVENCE0485,CAP.FEDERAL,S,2,6,1.0,Cosmeticos,4,4
1599843,52646201,5977,COSME DE NET CO LTD,HONG KONG,N,2,146,1.0,Cosmeticos,4,11
1788805,343640000000,5977,PROFUMERIA D ARCANGELI,ROMA,S,2,173,1.0,Cosmeticos,4,4
804672,1318626,5977,MYNK COSMETICOS,MARINGA,N,3,177,2.0,Cosmeticos,4,4
1617577,173180755,5977,COSMETICS OBSESSION SARL,LAUSANNE,S,2,146,1.0,Cosmeticos,4,4
1327723,13953718,5977,PAG*WMCOSMETICOS,CURITIBA,S,2,177,1.0,Cosmeticos,4,4
1235662,8670356914,5977,BAZAR E PERFUMARIA SATORI,ARUJA,S,1,177,1.0,Cosmeticos,4,4
552119,100862313,7299,PAGSEGUROUOL*DEFUMADOS,CURITIBA,S,2,177,4.0,Cosmeticos,4,11
629384,83133777,5963,PAG*EDECOSMETICOS,ARAUCARIA,S,2,177,3.0,Cosmeticos,4,4
584905,123153000000000,5977,FLORATA COSMETICOS,ITAJAI,S,2,177,4.0,Cosmeticos,4,4
601475,335066000000,5399,PERFUMANIA #371,AURORA,S,2,146,3.0,Cosmeticos,4,4
678746,164381000000000,5977,HEBELLE COSMETICOS,SAO JOSE DOS,S,2,177,3.0,Cosmeticos,4,4
1082894,205654000000000,5993,HOOKAHFULL,CASCAVEL,S,2,177,1.0,Cosmeticos,4,11
917928,1722525,5977,HELMY PERFUMARIA,CAPAO BONITO,S,2,177,2.0,Cosmeticos,4,4
1000090,27936657,5977,MAX COSMETICOS,CASCAVEL,S,2,177,2.0,Cosmeticos,4,4
729009,1020097962,5977,KIMS COSMETICOS,SAO PAULO,N,3,177,3.0,Cosmeticos,4,4
565717,17879172,8999,PAGSEGUROUOL*ONCOSMETI,SAO PAULO,N,3,177,4.0,Cosmeticos,4,4
1491645,5207387,6011,METRO SHARAF D/ADIB METRO,DUBAI,S,2,177,1.0,Cosmeticos,4,10
144094,324745000000000,4111,MTA*METROCARD MACHINE,NEW YORK,N,2,146,27.0,Cosmeticos,4,10
58947,1567106,5977,FRANQUIA HINODE ALRAUQ,ARAUCARIA,S,2,177,86.0,Cosmeticos,4,4
335277,57114269,5300,BARROS METAIS,CURITIBA,S,2,177,8.0,Cosmeticos,4,11
362617,1052166110,5977,ESSENCE PERFUMES,CURITIBA,S,4,177,7.0,Cosmeticos,4,4
1049150,8492870704,5122,ULTRA COSMETICOS 3,BOMBINHAS,S,1,177,1.0,Cosmeticos,4,4
684583,968987,5812,MAISON GOURMET PRODUCA,RECIFE,S,2,177,3.0,Cosmeticos,4,7
1841865,3033584,5977,PLURICOSMETICA BRAGA,BRAGA,S,2,144,1.0,Cosmeticos,4,4
61714,194325000000000,5977,BELLATRIZ COSMETICOS,CURITIBA,N,3,177,82.0,Cosmeticos,4,4
649794,10701400000000,5499,SA SA COSMETIC CO LT40,HONG KONG,N,3,56,3.0,Cosmeticos,4,4
1225820,103211581,5311,PAG*HILACOSMETICO,BELOHORIZONTE,S,2,177,1.0,Cosmeticos,4,4
869407,2173980,5977,TOSHIMAR COSMETICOS 04,SOROCABA,S,2,177,2.0,Cosmeticos,4,4
408624,102807030,5977,PAG*PRIMACOSMETIC,CURITIBA,S,2,177,6.0,Cosmeticos,4,4
1726785,1016950265,5977,MARIZA COSMETICOS LTDA,LUCAS DO RIO,S,2,177,1.0,Cosmeticos,4,4
1592049,25875865,5977,NEUZA PERFUMARIA,CAPAO BONITO,S,2,177,1.0,Cosmeticos,4,4
1512290,93742487,8999,PAG*JOSEGINODEPROENCA,ARAUCARIA,N,3,177,1.0,Cosmeticos,4,10
1934469,8903478,5912,FCIA Y PERFUMERIA POR3478,PROV BS AIRES,S,2,6,1.0,Cosmeticos,4,4
1331038,1769528,5422,BISTRO ALIMETOS  BOUTI,BRUMADINHO,S,2,177,1.0,Cosmeticos,4,7
1823389,19-8001643082,5977,L'OCCITANE #82,SANTA CLARA,N,3,146,1.0,Cosmeticos,4,4
1610972,31343908,5977,COSMETICS FOR YOU    3908,CAP.FEDERAL,S,2,6,1.0,Cosmeticos,4,4
1894517,40002586,5691,SEDUCAO PRONTA ENTREGA,SALVADOR,S,2,177,1.0,Cosmeticos,4,10
758886,92513650,7230,PAGSEGUROUOL*INNOVEFAS,CURITIBA,S,2,177,2.0,Cosmeticos,4,11
1401369,96243509,5977,PAG*ELIETEPERFUME,CURITIBA,S,2,177,1.0,Cosmeticos,4,4
1181928,1001621015,5977,VANILLA PERFUMARIA,BRASILIA,S,2,177,1.0,Cosmeticos,4,4
1594253,3385167,8651,PAGSEGUROUOL*LOJAMETAM,ITAPEVA,S,2,177,1.0,Cosmeticos,4,11
617623,349668,5411,NOAR PERFUMES,CAMPO LARGO,S,2,177,3.0,Cosmeticos,4,4
145201,91090851,5977,PAGSEGUROUOL*PBCOSMETI,BALNEARIOCAMB,S,2,177,27.0,Cosmeticos,4,4
50602,52949370,5541,POSTO KLMETZ 6,FAZENDA RIO G,N,3,177,104.0,Cosmeticos,4,11
1287393,323103887,7011,HOSTAL CAF ACUEDUCTO  MIL,MERIDA,N,3,173,1.0,Cosmeticos,4,0
1487386,372660000000,5999,PERFUME PLUS OUTLET INC,SANTA BARBARA,N,3,146,1.0,Cosmeticos,4,4
1905093,81849935,5122,PAG*FORHOURSPERFU,CURITIBA,N,3,177,1.0,Cosmeticos,4,11
1546119,102869450,5211,PAG*PISOSITAMARATI,CURITIBA,S,2,177,1.0,Cosmeticos,4,10
1696473,335066000000,5399,PERFUMANIA #795,NATIONAL HARB,S,2,146,1.0,Cosmeticos,4,4
351437,9080182058,5977,ODETE COSMETICOS,CURITIBA,S,1,177,8.0,Cosmeticos,4,4
414279,8670623214,5977,COSMETICOS EIRELI   ME,BALNEARIO CAM,S,1,177,6.0,Cosmeticos,4,4
1927849,527729201,7011,SUMAQ QOSQO SAC,CUSCO,S,2,108,1.0,Cosmeticos,4,11
1915678,161135000000000,5921,PAYPAL *AUPAYSDUCIT,4029357733,N,3,173,1.0,Cosmeticos,4,11
241033,8716075056,5712,SIMMETRIA AMBIENT,CURITIBA,S,1,177,13.0,Cosmeticos,4,11
1474552,37011000000000,5944,MOTILAL R MINDA,UDAIPUR,S,2,59,1.0,Cosmeticos,4,11
1435260,112623330,4789,PAG*MARIOYUKIOINOUE,LONDRINA,S,2,177,1.0,Cosmeticos,4,11
1512350,39371200000000,5977,SEPHORA 1890,MOULIN LES ME,N,3,173,1.0,Cosmeticos,4,4
310949,8674533518,5912,CAF MEDICAMENTOS E PERFUM,CURITIBA,S,1,177,9.0,Cosmeticos,4,4
1412890,1089079084,5977,LOCCITANE - BOURBON CO,PORTO ALEGRE,S,4,177,1.0,Cosmeticos,4,4
715486,1016553940,5977,PERFUMARIAS  GLAMOUR,SAO CAETANO D,S,2,177,3.0,Cosmeticos,4,4
1155491,94322551,7523,PAGSEGUROUOL*METAPARK,PORTOALEGRE,S,2,177,1.0,Cosmeticos,4,10
1219292,157791000000000,8999,PAYPAL *PERFUMEOUTL,4029357733,N,3,177,1.0,Cosmeticos,4,4
1483500,90405126,5311,PAG*GIANHINODE,CURITIBA,S,2,177,1.0,Cosmeticos,4,4
1902812,1038118961,5977,PERFUMARIA DESTAK,JOAO MONLEVAD,N,3,177,1.0,Cosmeticos,4,4
1565657,111018762,5812,PAG*MEUFEIJAOGOURMET,LONDRINA,N,3,177,1.0,Cosmeticos,4,7
1674545,1029593822,5271,COSMETICOS ROSELE,SAO JOSE DOS,S,2,177,1.0,Cosmeticos,4,4
1172705,84025337,8999,PAGSEGUROUOL*TATTOOMET,SALVADOR,S,2,177,1.0,Cosmeticos,4,11
1491524,80750711,4789,PAG*JAIMETAXI,SAOPAULO,S,2,177,1.0,Cosmeticos,4,11
690732,8718355712,5912,MARLENE COSMETICO,PARANAGUA,S,1,177,3.0,Cosmeticos,4,4
1743529,59995416,5977,LUCEL FERNAND COSMET,CURITIBA,N,3,177,1.0,Cosmeticos,4,11
906526,158229000000000,5977,LOCCTITANE,JOÃƒO PESSOA,N,3,177,2.0,Cosmeticos,4,11
1173450,74971735,5944,PAG*DENISEDEFARIA,SAO PAULO,N,2,177,1.0,Cosmeticos,4,11
1919375,1005347511,5977,LEIDE COSMETICOS,PAULO AFONSO,S,2,177,1.0,Cosmeticos,4,4
1634160,84435235,7230,L'OCCITANE ROERMOND,ROERMOND,N,3,173,1.0,Cosmeticos,4,4
351227,4681550,5631,MAR ALE ADONAI COSMETI,COLOMBO,S,2,177,8.0,Cosmeticos,4,4
241863,63415126,5977,PAGSEGUROUOL*HNDCOSMET,CURITIBA,N,3,177,13.0,Cosmeticos,4,11
523653,87014313,5651,PAGSEGUROUOL*IFUTURI,SAO PAULO,N,2,177,4.0,Cosmeticos,4,11
962876,8672622578,5977,VALLU COSMETICOS LTDA   M,CURITIBA,S,1,177,2.0,Cosmeticos,4,4
1927817,483998000000,5977,MS COSMETICS LLC,HOUSTON,S,2,146,1.0,Cosmeticos,4,4
122985,1575661,5331,IMPERFIX,CURITIBA,S,2,177,34.0,Cosmeticos,4,11
50537,1027938091,5977,R P COSMETICOS,CURITIBA,S,2,177,104.0,Cosmeticos,4,4
507168,44975904,4111,MOSMETRO.RU AFRUNZENSK,MOSCOW,N,3,114,4.0,Cosmeticos,4,10
55893,94425004,5655,PAGSEGUROUOL*PERFETTO,CURITIBA,S,2,177,92.0,Cosmeticos,4,10
648973,1026231342,5977,S M COSMETICOS,PARANAGUA,S,4,177,3.0,Cosmeticos,4,4
832558,4445000000000,5999,PERFUMANIA #464,DEER PARK,N,3,146,2.0,Cosmeticos,4,4
507276,35386044,5977,OG-WWW.LOCCITANE.IT,WWW.LOCCITANE,N,2,173,4.0,Cosmeticos,4,4
552345,89014322,5977,PAGSEGUROUOL*EYKOSMETI,CURITIBA,S,2,177,4.0,Cosmeticos,4,11
462863,134505000000000,5964,M V COSMETICOS,CURITIBA,S,2,177,5.0,Cosmeticos,4,4
1474424,3545340,5977,L'OCCITANE EN PROV 340,VENEZIA,N,3,177,1.0,Cosmeticos,4,4
1105218,8730115854,5977,LOCCITANE SHOPPING CEN,SAO PAULO,S,1,177,1.0,Cosmeticos,4,4
1674436,45000703,4111,MOSMETRO.RU ATYOPLY ST,MOSCOW,N,2,114,1.0,Cosmeticos,4,10
1219331,9294114947,3553,PARK INN SHEREMETYEVO RES,KHIMKI,N,3,114,1.0,Cosmeticos,4,0
1336873,19-8012306497,5977,L OCCITANE #166,NATICK,S,2,146,1.0,Cosmeticos,4,4
431901,150549000000000,5977,RMK COSMETICOS,OSASCO,N,3,177,6.0,Cosmeticos,4,4
962859,2100475912,5948,ABERCROMBIE AND FITCH MET,AMSTERDAM,S,2,173,2.0,Cosmeticos,4,11
552304,1003390886,7230,PERFORMANCE INST BELEZ,SALVADOR,N,3,177,4.0,Cosmeticos,4,11
1512906,6317333,5977,PARFUMS  MUZIO BEAUTE,ROMA,N,3,173,1.0,Cosmeticos,4,11
629652,372761000000,5999,OFFICINA PROFUMO-MIA A,MIAMI,N,3,146,3.0,Cosmeticos,4,11
1287592,8675243828,5977,COTIRO COSMETICOS LTDA,BALNEARIO CAM,S,1,177,1.0,Cosmeticos,4,4
601957,245282,5912,PERFUMERIA ALEX      5282,MENDOZA,S,2,6,3.0,Cosmeticos,4,4
1557937,19031905,7298,KD ALVES COSMETICOS,TOLEDO,S,2,177,1.0,Cosmeticos,4,4
1565751,186739000000000,5977,LA PARFUMERIE BAHA MAR,NASSAU,S,2,146,1.0,Cosmeticos,4,4
1580278,8541287900,5631,PERFUMES & CI,PONTA GROSSA,S,1,177,1.0,Cosmeticos,4,4
1696901,101000000000,5977,DU RIO COSMETICOS,BALNEARIO CAM,S,2,177,1.0,Cosmeticos,4,4
861693,1053143572,5013,SOLUCAO PARABRISAS,BRASILIA,S,2,177,2.0,Cosmeticos,4,11
841761,17093813,5311,PAGSEGUROUOL*AVNODEPIN,CURITIBA,S,2,177,2.0,Cosmeticos,4,11
1611158,8716801790,5977,MAHOGANY COSMETIC,CURITIBA,S,1,177,1.0,Cosmeticos,4,4
1665878,4641120,5947,HINODE LIDER CRUZEIRO,JANDIRA,S,2,177,1.0,Cosmeticos,4,4
462893,1723878,5977,LAFI COSMETICOS LTDA E,LAGES,S,2,177,5.0,Cosmeticos,4,4
1806107,4178603,7311,DILSON COSMETICOS,MANDAGUARI,S,2,177,1.0,Cosmeticos,4,4
972861,461682000000000,5999,PERFUME EMPIRE STORE 1020,BALTIMORE,S,2,146,2.0,Cosmeticos,4,4
66953,1644942,5411,EMPORIUM COSMETICS,CURITIBA,S,2,177,74.0,Cosmeticos,4,4
1350209,1013332692,5977,VIDA COSMETICOS,LAJEADO,N,3,177,1.0,Cosmeticos,4,4
216538,1003888191,5411,COOP 10 PERIMETRAL,SANTO ANDRE,S,2,177,15.0,Cosmeticos,4,11
1494884,122648,5411,METRO COTE NEIGES # 2176,MONTREAL,S,2,23,1.0,Cosmeticos,4,10
66991,8670118280,5977,MOACIR F BONATO COSMETICO,CURITIBA,S,1,177,74.0,Cosmeticos,4,4
190049,8670702950,5977,REM COMERCIO DE COSMETICO,CURITIBA,S,1,177,19.0,Cosmeticos,4,4
124195,1120440,5977,MIRELA COSMETICOS,CURITIBA,S,2,177,33.0,Cosmeticos,4,4
1192231,4445010000000,4111,METRO 054-SMITHSONIAN N,WASHINGTON,N,3,146,1.0,Cosmeticos,4,10
1037169,4155955,5977,HIBISCO COSMETICOS PER,ARAUCARIA,S,2,177,1.0,Cosmeticos,4,4
649307,19430230,7230,MARCELLE COM COSMETIC,PORTO ALEGRE,N,3,177,3.0,Cosmeticos,4,4
1788979,332824374,5977,PERFUMERIAS GARROTE,A CORUNA,S,2,173,1.0,Cosmeticos,4,4
381030,1710452,5122,PAG*ADATINACOSMETICOS,CAMPINAS,N,2,177,7.0,Cosmeticos,4,4
674178,8671293090,5977,BELLA ROSSI COSMETICOS,CURITIBA,S,1,177,3.0,Cosmeticos,4,4
1235626,332720580,5977,PERFUMERIA SAM,ARRECIFE DE L,S,2,173,1.0,Cosmeticos,4,4
311225,31767100000000,5309,YVESAM TAX REFUND MEXICO,PUL880512N97,N,2,146,9.0,Cosmeticos,4,11
